,postcode,ins_avg,ins_total,out_avg,out_total,suburb,state
0,200,0.047619047619047616,1.0,0.0038095238095238095,0.08,ANU,ACT
1,800,5.190476190476192,109.0,123.59904761904758,2595.58,DARWIN,NT
2,801,0.3809523809523809,8.0,11.183714285714288,234.858,DARWIN,NT
3,804,0.7142857142857143,15.0,3.7290476190476203,78.31000000000002,PARAP,NT
4,810,156.85714285714286,3294.0,1010.4450476190477,21219.346,TIWI,NT
5,811,0.09523809523809523,2.0,0.42857142857142855,9.0,CASUARINA,NT
6,812,86.23809523809523,1811.0,529.1911904761905,11113.015,WULAGI,NT
7,813,0.3333333333333333,7.0,4.073761904761904,85.54899999999998,SANDERSON,NT
8,814,0.19047619047619047,4.0,0.8685714285714287,18.24,NIGHTCLIFF,NT
9,820,52.23809523809525,1097.0,544.8573333333334,11442.003999999999,BAGOT,NT
10,821,0.3333333333333333,7.0,7.443,156.303,WINNELLIE,NT
11,822,41.904761904761905,880.0,440.00828571428576,9240.174,SOUTHPORT,NT
12,828,11.476190476190474,241.0,166.77338095238096,3502.241,BERRIMAH,NT
13,829,1.7142857142857142,36.0,42.42285714285714,890.8799999999999,PINELANDS,NT
14,830,92.4761904761905,1942.0,586.6249523809523,12319.124000000002,DURACK,NT
15,831,0.42857142857142855,9.0,1.8561904761904757,38.98,PALMERSTON,NT
16,832,107.38095238095238,2255.0,642.1968571428573,13486.133999999998,GUNN,NT
17,834,11.142857142857142,234.0,81.13723809523809,1703.882,VIRGINIA,NT
18,835,23.476190476190478,493.0,155.48514285714285,3265.188,HOWARD SPRINGS,NT
19,836,55.66666666666666,1169.0,383.24147619047613,8048.071,HUMPTY DOO,NT
20,837,2.952380952380953,62.0,28.238619047619054,593.011,MANTON,NT
21,838,5.7142857142857135,120.0,45.01914285714286,945.4019999999999,BERRY SPRINGS,NT
22,839,1.0476190476190477,22.0,20.529761904761905,431.125,COOLALINGA,NT
23,840,5.333333333333333,112.0,32.85738095238095,690.005,DUNDEE FOREST,NT
24,841,3.238095238095238,68.0,34.503809523809515,724.5799999999998,DARWIN RIVER,NT
25,845,3.4285714285714284,72.0,28.530285714285718,599.136,BATCHELOR,NT
26,846,2.142857142857143,45.0,14.523571428571428,304.99499999999995,ADELAIDE RIVER,NT
27,847,1.0,21.0,12.633571428571427,265.305,PINE CREEK,NT
28,850,38.142857142857146,801.0,302.7292380952381,6357.314,EMUNGALAN,NT
29,851,2.1904761904761907,46.0,15.49404761904762,325.375,KATHERINE,NT
30,852,7.238095238095237,152.0,90.46285714285713,1899.72,BULMAN WEEMOL,NT
31,853,0.047619047619047616,1.0,0.1261904761904762,2.65,TINDAL,NT
32,854,0.6666666666666666,14.0,9.009285714285713,189.195,KING ASH BAY,NT
33,860,5.809523809523809,122.0,35.07138095238096,736.4989999999999,TENNANT CREEK,NT
34,861,1.0,21.0,5.790238095238094,121.595,BRUNCHILLY,NT
35,862,1.5714285714285714,33.0,17.456666666666667,366.59,PAMAYU,NT
36,870,121.57142857142857,2553.0,757.9950476190477,15917.896,ALICE SPRINGS,NT
37,871,2.7142857142857144,57.0,19.399047619047614,407.38,ALICE SPRINGS,NT
38,872,8.80952380952381,185.0,107.51509523809523,2257.817,YUENDUMU,NT
39,873,6.333333333333332,133.0,47.3542380952381,994.439,ROSS,NT
40,874,0.8571428571428571,18.0,6.707142857142857,140.85,MOUNT JOHNS,NT
41,875,6.095238095238094,128.0,39.08742857142858,820.836,FLYNN,NT
42,880,1.0952380952380951,23.0,11.390523809523811,239.201,GAPUWIYAK,NT
43,881,0.5714285714285714,12.0,5.13,107.73,NHULUNBUY,NT
44,885,0.6190476190476191,13.0,28.50476190476191,598.6,ALYANGULA,NT
45,886,0.4761904761904762,10.0,7.2233333333333345,151.69000000000003,JABIRU,NT
46,1340,0.047619047619047616,1.0,0.054285714285714284,1.14,KINGS CROSS,NSW
47,1355,0.047619047619047616,1.0,0.04857142857142857,1.02,BONDI JUNCTION,NSW
48,1435,0.047619047619047616,1.0,0.07333333333333332,1.54,ALEXANDRIA,NSW
49,1460,0.047619047619047616,1.0,0.2261904761904762,4.75,MASCOT,NSW
50,1470,0.09523809523809523,2.0,0.2766666666666667,5.8100000000000005,DRUMMOYNE,NSW
51,1475,0.14285714285714285,3.0,0.5707142857142857,11.985,MARRICKVILLE,NSW
52,1480,0.09523809523809523,2.0,0.2323809523809524,4.88,KINGSGROVE,NSW
53,1485,0.047619047619047616,1.0,0.09523809523809523,2.0,KOGARAH,NSW
54,1490,0.047619047619047616,1.0,0.0719047619047619,1.51,MIRANDA,NSW
55,1495,0.09523809523809523,2.0,0.5347619047619048,11.23,CARINGBAH,NSW
56,1560,0.2,1.0,1.005,5.025,NORTHBRIDGE,NSW
57,1570,0.09523809523809523,2.0,0.5309523809523811,11.15,ARTARMON,NSW
58,1595,0.14285714285714285,3.0,0.5571428571428572,11.7,LANE COVE,NSW
59,1630,0.3333333333333333,7.0,1.6088095238095237,33.785,HORNSBY,NSW
60,1640,0.4,2.0,3.015,15.075,FRENCHS FOREST,NSW
61,1655,0.14285714285714285,3.0,0.8497619047619047,17.845,MANLY,NSW
62,1658,0.047619047619047616,1.0,0.24,5.04,MONA VALE,NSW
63,1660,0.09523809523809523,2.0,0.6238095238095238,13.1,MONA VALE,NSW
64,1670,0.047619047619047616,1.0,0.21142857142857144,4.44,NORTH RYDE BC,NSW
65,1680,0.09523809523809523,2.0,0.4466666666666666,9.38,RYDE,NSW
66,1685,0.5,1.0,2.4,4.8,WEST RYDE,NSW
67,1710,0.047619047619047616,1.0,0.22857142857142854,4.8,EPPING,NSW
68,1715,0.09523809523809523,2.0,0.1433333333333333,3.01,PENNANT HILLS,NSW
69,1730,0.19047619047619047,4.0,0.6423809523809524,13.49,SEVEN HILLS,NSW
70,1741,0.047619047619047616,1.0,0.4761904761904762,10.0,PARRAMATTA,NSW
71,1755,0.09523809523809523,2.0,0.24285714285714285,5.1,BAULKHAM HILLS,NSW
72,1765,0.3809523809523809,8.0,1.2285714285714289,25.800000000000004,CASTLE HILL,NSW
73,1790,0.19047619047619047,4.0,5.519047619047619,115.9,ST MARYS,NSW
74,1800,0.047619047619047616,1.0,0.2,4.2,ASHFIELD,NSW
75,1805,0.09523809523809523,2.0,0.700952380952381,14.72,BURWOOD,NSW
76,1830,0.047619047619047616,1.0,0.2895238095238095,6.08,GRANVILLE,NSW
77,1835,0.047619047619047616,1.0,0.054285714285714284,1.14,AUBURN,NSW
78,1860,0.14285714285714285,3.0,1.2104761904761905,25.42,FAIRFIELD,NSW
79,1871,0.047619047619047616,1.0,0.07238095238095238,1.52,LIVERPOOL,NSW
80,1875,0.047619047619047616,1.0,0.07666666666666667,1.61,MOOREBANK,NSW
81,1885,0.2380952380952381,5.0,0.6328571428571429,13.29,BANKSTOWN,NSW
82,1890,0.2380952380952381,5.0,0.8590476190476191,18.04,INGLEBURN,NSW
83,2000,2.4285714285714284,51.0,61.38028571428572,1288.986,DAWES POINT,NSW
84,2007,1.3333333333333333,28.0,17.00857142857143,357.18,BROADWAY,NSW
85,2008,3.9047619047619047,82.0,34.55209523809524,725.5939999999999,GOLDEN GROVE,NSW
86,2009,0.8095238095238095,17.0,16.59428571428571,348.48,DARLING ISLAND,NSW
87,2010,8.571428571428571,180.0,58.664238095238105,1231.9489999999998,DARLINGHURST,NSW
88,2011,2.095238095238096,44.0,25.51995238095238,535.919,ELIZABETH BAY,NSW
89,2015,11.476190476190474,241.0,165.1424761904762,3467.992,ALEXANDRIA,NSW
90,2016,6.2857142857142865,132.0,36.15971428571429,759.3539999999999,REDFERN,NSW
91,2017,3.4761904761904763,73.0,47.00452380952381,987.095,ZETLAND,NSW
92,2018,18.52380952380953,389.0,100.93438095238096,2119.6220000000003,EASTLAKES,NSW
93,2019,17.857142857142858,375.0,165.98428571428568,3485.67,BANKSMEADOW,NSW
94,2020,17.285714285714285,363.0,122.45080952380951,2571.467,SYDNEY INTERNATIONAL AIRPORT,NSW
95,2021,10.809523809523812,227.0,62.59385714285715,1314.4710000000002,PADDINGTON,NSW
96,2022,13.285714285714285,279.0,69.43638095238096,1458.1640000000002,BONDI JUNCTION,NSW
97,2023,11.761904761904766,247.0,84.69166666666669,1778.5250000000005,BELLEVUE HILL,NSW
98,2024,18.285714285714285,384.0,115.22561904761903,2419.738,BRONTE,NSW
99,2025,6.190476190476191,130.0,33.448095238095235,702.41,WOOLLAHRA,NSW
100,2026,27.190476190476193,571.0,135.6052380952381,2847.71,NORTH BONDI,NSW
101,2027,3.7142857142857135,78.0,25.84590476190476,542.764,DARLING POINT,NSW
102,2028,3.0,63.0,23.619523809523805,496.01,DOUBLE BAY,NSW
103,2029,8.476190476190476,178.0,52.79019047619048,1108.594,ROSE BAY,NSW
104,2030,20.714285714285715,435.0,136.66628571428572,2869.992,HMAS WATSON,NSW
105,2031,33.333333333333336,700.0,184.82676190476192,3881.362,CLOVELLY,NSW
106,2032,17.666666666666668,371.0,86.28714285714285,1812.03,DACEYVILLE,NSW
107,2033,9.666666666666666,203.0,59.728428571428566,1254.297,KENSINGTON,NSW
108,2034,22.33333333333333,469.0,113.47980952380951,2383.076,SOUTH COOGEE,NSW
109,2035,54.14285714285714,1137.0,273.5900476190476,5745.391000000001,MAROUBRA,NSW
110,2036,57.14285714285714,1200.0,301.7907142857144,6337.605000000001,PORT BOTANY,NSW
111,2037,13.285714285714285,279.0,64.03428571428572,1344.72,FOREST LODGE,NSW
112,2038,16.61904761904762,349.0,69.48352380952379,1459.154,ANNANDALE,NSW
113,2039,12.095238095238097,254.0,53.67504761904761,1127.1760000000004,ROZELLE,NSW
114,2040,40.047619047619044,841.0,192.98380952380955,4052.66,LILYFIELD,NSW
115,2041,22.57142857142857,474.0,89.17180952380951,1872.608,BALMAIN,NSW
116,2042,24.904761904761905,523.0,107.51452380952381,2257.8050000000007,ENMORE,NSW
117,2043,6.3809523809523805,134.0,31.30542857142857,657.414,ERSKINEVILLE,NSW
118,2044,18.952380952380953,398.0,103.8785238095238,2181.449,ST PETERS,NSW
119,2045,13.666666666666664,287.0,95.23671428571429,1999.971,HABERFIELD,NSW
120,2046,42.76190476190476,898.0,239.70547619047628,5033.815000000001,WAREEMBA,NSW
121,2047,13.190476190476188,277.0,64.20966666666666,1348.4029999999998,DRUMMOYNE,NSW
